strain	virus	date	country	host	Accession	authors	journal	title
DQ447651|05DRC99|1999-05-XX	Marburg marburgvirus	1999-05-XX	Democratic Republic of the Congo	Human	DQ447651		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447658|Ang0215|2005-04-XX	Marburg marburgvirus	2005-04-XX	Angola	Human	DQ447658		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447657|Ang0214|2005-04-XX	Marburg marburgvirus	2005-04-XX	Angola	Human	DQ447657		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447650|07DRC99|1999-05-XX	Marburg marburgvirus	1999-05-XX	Democratic Republic of the Congo	Human	DQ447650		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447656|Ang0126|2005-04-XX	Marburg marburgvirus	2005-04-XX	Angola	Human	DQ447656		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447660|Ang0998|2005-05-XX	Marburg marburgvirus	2005-05-XX	Angola	Human	DQ447660		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447653|Ang1379c|2005-03-XX	Marburg marburgvirus	2005-03-XX	Angola	Human	DQ447653		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447655|Ang1386|2005-03-XX	Marburg marburgvirus	2005-03-XX	Angola	Human	DQ447655		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
DQ447659|Ang0754|2005-04-XX	Marburg marburgvirus	2005-04-XX	Angola	Human	DQ447659		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
EF446132|Germany_Marburg|1967-XX-XX	Marburg marburgvirus	1967-XX-XX	Germany	Unknown	EF446132		Submitted (21-FEB-2007) Virology Division, Viral Pathogenesis and Immunology Dept., United States Army Medical Research Institute of Infectious Diseases, 1425 Porter Street, Frederick, MD 21702, USA	Direct Submission
DQ447654|Ang1381|2005-03-XX	Marburg marburgvirus	2005-03-XX	Angola	Human	DQ447654		Submitted (14-MAR-2006) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
FJ750958|Uganda371Bat2007|2007-XX-XX	Marburg marburgvirus	2007-XX-XX	Uganda	Bat	FJ750958		Submitted (13-FEB-2009) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
FJ750959|Uganda331Bat2007|2007-XX-XX	Marburg marburgvirus	2007-XX-XX	Uganda	Bat	FJ750959		Submitted (13-FEB-2009) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
FJ750957|Uganda01Uga07|2007-XX-XX	Marburg marburgvirus	2007-XX-XX	Uganda	Human	FJ750957		Submitted (13-FEB-2009) Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA	Direct Submission
OL702894|MARV001|2021-09-08	Marburg marburgvirus	2021-09-08	Guinea	Human	OL702894		Submitted (03-DEC-2021) Virology Department, Institut Pasteur de Dakar, 36, Avenue Pasteur, Dakar, Senegal 220, Senegal	Direct Submission
JX458852|MARV/R.aegyptiacus-tc/UGA/2008/53Qbat|2008-XX-XX	Marburg marburgvirus	2008-XX-XX	Uganda	Bat	JX458852		Submitted (02-AUG-2012) Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA	Direct Submission
JX458836|MARV/H.sapiens-tc/COD/2000/29DRC|2000-XX-XX	Marburg marburgvirus	2000-XX-XX	Democratic Republic of the Congo	Human	JX458836		Submitted (02-AUG-2012) Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA	Direct Submission
JX458839|MARV/H.sapiens-tc/COD/2000/16DRC|2000-XX-XX	Marburg marburgvirus	2000-XX-XX	Democratic Republic of the Congo	Human	JX458839		Submitted (02-AUG-2012) Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA	Direct Submission
JX458838|MARV/H.sapiens-tc/COD/2000/17DRC|2000-XX-XX	Marburg marburgvirus	2000-XX-XX	Democratic Republic of the Congo	Human	JX458838		Submitted (02-AUG-2012) Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA	Direct Submission
JX458855|MARV/R.aegyptiacus-tc/UGA/2009/843Qbat|2009-XX-XX	Marburg marburgvirus	2009-XX-XX	Uganda	Bat	JX458855		Submitted (02-AUG-2012) Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA	Direct Submission
JX458832|MARV/H.sapiens-tc/COD/2000/30DRC|2000-XX-XX	Marburg marburgvirus	2000-XX-XX	Democratic Republic of the Congo	Human	JX458832		Submitted (02-AUG-2012) Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA	Direct Submission
