DQ447651|05DRC99|1999-05-XX	Democratic Republic of the Congo	DQ447651
DQ447658|Ang0215|2005-04-XX	Angola	DQ447658
DQ447657|Ang0214|2005-04-XX	Angola	DQ447657
DQ447650|07DRC99|1999-05-XX	Democratic Republic of the Congo	DQ447650
DQ447656|Ang0126|2005-04-XX	Angola	DQ447656
DQ447660|Ang0998|2005-05-XX	Angola	DQ447660
DQ447653|Ang1379c|2005-03-XX	Angola	DQ447653
DQ447655|Ang1386|2005-03-XX	Angola	DQ447655
DQ447659|Ang0754|2005-04-XX	Angola	DQ447659
EF446132|Germany_Marburg|1967-XX-XX	Germany	EF446132
DQ447654|Ang1381|2005-03-XX	Angola	DQ447654
FJ750958|Uganda371Bat2007|2007-XX-XX	Uganda	FJ750958
FJ750959|Uganda331Bat2007|2007-XX-XX	Uganda	FJ750959
FJ750957|Uganda01Uga07|2007-XX-XX	Uganda	FJ750957
OL702894|MARV001|2021-09-08	Guinea	OL702894
JX458852|MARV/R.aegyptiacus-tc/UGA/2008/53Qbat|2008-XX-XX	Uganda	JX458852
JX458836|MARV/H.sapiens-tc/COD/2000/29DRC|2000-XX-XX	Democratic Republic of the Congo	JX458836
JX458839|MARV/H.sapiens-tc/COD/2000/16DRC|2000-XX-XX	Democratic Republic of the Congo	JX458839
JX458838|MARV/H.sapiens-tc/COD/2000/17DRC|2000-XX-XX	Democratic Republic of the Congo	JX458838
JX458855|MARV/R.aegyptiacus-tc/UGA/2009/843Qbat|2009-XX-XX	Uganda	JX458855
JX458832|MARV/H.sapiens-tc/COD/2000/30DRC|2000-XX-XX	Democratic Republic of the Congo	JX458832
JX458840|MARV/H.sapiens-tc/COD/2000/12DRC|2000-XX-XX	Democratic Republic of the Congo	JX458840
JX458831|MARV/H.sapiens-tc/COD/2000/14DRC|2000-XX-XX	Democratic Republic of the Congo	JX458831
JX458853|MARV/R.aegyptiacus-tc/UGA/2008/164Qbat|2008-XX-XX	Uganda	JX458853
JX458842|MARV/H.sapiens-tc/COD/2000/18DRC|2000-XX-XX	Democratic Republic of the Congo	JX458842
JX458833|MARV/H.sapiens-tc/COD/1999/01DRC|1999-XX-XX	Democratic Republic of the Congo	JX458833
JX458858|MARV/R.aegyptiacus-tc/UGA/2009/1328Qbat|2009-XX-XX	Uganda	JX458858
